id,formula,cif_path,split,y_true,published_e_hull_ev_atom,source_pred_affine_energy_composition,source_pred_composition_only_linear,natoms,nelements
wbm-step1-000015,Ag2CdPt,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000015.cif,train,-0.0145,0.104,-0.0387899578790684,-0.0218824864129838,4,3
wbm-step1-000017,Ag2CeHg,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000017.cif,train,-0.0405,0.045,-0.0023754664695594,0.0067577800021064,4,3
wbm-step1-000018,Ag2Ce,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000018.cif,train,-0.0323333333333333,-0.023,-0.0123413328867269,-0.0143536010014692,3,2
wbm-step1-000019,Ag2Ce,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000019.cif,train,-0.03,-0.106,-0.0170856460240854,-0.0143536010014692,6,2
wbm-step1-000020,Ag2CsAc,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000020.cif,train,0.0435,0.34,-0.0463285244394829,-0.0561335200627426,4,3
wbm-step1-000021,Ag2CsLa,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000021.cif,train,0.057,0.457,-0.0997066477888757,-0.1263778792022861,4,3
wbm-step1-000023,Ag2DyTl,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000023.cif,train,-0.059,0.013,-0.0854368477946598,-0.0715107723834056,4,3
wbm-step1-000024,Ag2Dy,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000024.cif,train,-0.0463333333333333,0.002,-0.1495883334827962,-0.1435847341388901,6,2
wbm-step1-000025,Ag2ErTl,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000025.cif,train,-0.055,0.032,-0.0758082042530746,-0.0626521731031684,4,3
wbm-step1-000026,Ag2Er,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000026.cif,train,-0.0448333333333333,0.012,-0.1375667482996479,-0.1317732684319071,6,2
wbm-step1-000027,Ag2Eu,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000027.cif,train,-0.0736666666666666,0.022,-0.0981052246902817,-0.0861939967318287,3,2
wbm-step1-000028,Ag2Hf,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000028.cif,train,-0.002,0.074,-0.0089882166322366,-0.0104916361445748,3,2
wbm-step1-000029,Ag2HgAc,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000029.cif,train,-0.05775,0.05,0.0294275909049138,0.0576807997804866,4,3
wbm-step1-000031,Ag2Ho,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000031.cif,train,-0.0456666666666666,0.007,-0.1082805173930506,-0.1011230421770602,6,2
wbm-step1-000032,Ag2I4Hg,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000032.cif,train,-0.0432857142857142,-0.005,0.0088831374046179,0.0066837807785004,7,3
wbm-step1-000033,Ag2In2Ba,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000033.cif,train,-0.0569999999999999,0.011,-0.078321029185295,-0.066278338206792,5,3
wbm-step1-000034,Ag2InAc,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000034.cif,train,-0.07375,-0.022,-0.0054484257657917,0.0227088861877147,4,3
wbm-step1-000036,Ag2InU,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000036.cif,train,0.0505,0.233,0.022981595223415,0.021157754123988,4,3
wbm-step1-000037,Ag2In,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000037.cif,train,-0.0063333333333333,0.021,0.0279799762717883,0.0523011243458902,3,2
wbm-step1-000038,Ag2In,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000038.cif,train,-0.0011111111111111,0.03,0.0280725448661503,0.0523011243458902,9,2
wbm-step1-000039,Ag2In,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000039.cif,train,-0.0059999999999999,0.004,0.0270429571242896,0.0523011243458902,6,2
wbm-step1-000040,Ag2LaBi,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000040.cif,train,-0.0855,0.182,-0.0993010067830373,-0.0808919031398237,4,3
wbm-step1-000042,Ag2LaHg,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000042.cif,train,-0.06975,0.042,-0.0301611140736207,-0.0125635593590569,4,3
wbm-step1-000045,Ag2LaYb,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000045.cif,train,-0.0955,-0.032,-0.0874912052832333,-0.0890315037591167,4,3
wbm-step1-000046,Ag2LuTl,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000046.cif,train,-0.04725,0.069,-0.0770086186347951,-0.0649237255733393,4,3
wbm-step1-000047,Ag2Lu,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000047.cif,train,-0.0416666666666666,0.038,-0.1407335383077341,-0.1348020050588017,6,2
wbm-step1-000048,Ag2Nd,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000048.cif,train,-0.088,-0.007,-0.1651930002680758,-0.158430529788225,3,2
wbm-step1-000049,Ag2Nd,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000049.cif,train,-0.0471666666666666,-0.026,-0.1661571401671433,-0.158430529788225,6,2
wbm-step1-000050,Ag2PbAc,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000050.cif,train,-0.07475,-0.035,-0.0190908854466033,0.0133462847113493,4,3
wbm-step1-000052,Ag2Pr,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000052.cif,train,-0.0826666666666666,0.003,-0.0218058331062158,-0.015235583320695,3,2
wbm-step1-000053,Ag2Pr,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000053.cif,train,-0.0466666666666666,-0.03,-0.0235072232903945,-0.015235583320695,6,2
wbm-step1-000054,Ag2Pu,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000054.cif,train,0.0136666666666666,0.041,0.0043799649444906,0.0072963951653792,3,2
wbm-step1-000055,Ag2Sb2Ba,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000055.cif,train,-0.0508,-0.036,-0.0437511210384432,-0.0280292023920533,10,3
wbm-step1-000056,Ag2SbAc,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000056.cif,train,-0.08325,-0.167,0.021674959712953,0.0466145960719263,4,3
wbm-step1-000057,Ag2Sm,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000057.cif,train,-0.0963333333333333,-0.023,-0.0305452632546195,-0.0269749253223677,3,2
wbm-step1-000058,Ag2Sm,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000058.cif,train,-0.0473333333333333,-0.017,-0.0301561002040412,-0.0269749253223677,6,2
wbm-step1-000059,Ag2SnBa,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000059.cif,train,-0.0555,0.166,-0.0397162995178145,-0.0355429151321887,4,3
wbm-step1-000060,Ag2SnBi,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000060.cif,train,0.02525,0.118,0.0065330321076827,0.0182765550185971,4,3
wbm-step1-000061,Ag2SnCe,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000061.cif,train,-0.0795,0.034,-0.0106903774677629,0.0016419411960724,4,3
wbm-step1-000062,Ag2SnDy,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000062.cif,train,-0.09225,0.078,-0.1083179812453891,-0.0952814086569932,4,3
wbm-step1-000063,Ag2SnEr,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000063.cif,train,-0.0875,0.078,-0.0985408783714115,-0.0864228093767559,4,3
wbm-step1-000064,Ag2SnHo,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000064.cif,train,-0.09,0.078,-0.0769520792147333,-0.0634351396856208,4,3
wbm-step1-000066,Ag2SnNp,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000066.cif,train,0.02875,0.169,-0.4351089516029368,-0.4301679138801806,4,3
wbm-step1-000068,Ag2SnTa,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000068.cif,train,0.14775,0.619,0.0830027659542533,0.053181428408304,4,3
wbm-step1-000070,Ag2SnTe4Ba,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000070.cif,train,-0.067875,0.022,-0.0365597711898472,-0.0252716803416798,8,4
wbm-step1-000071,Ag2SnTh,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000071.cif,train,-0.0585,0.089,-0.002591411853037,0.0019810028790961,4,3
wbm-step1-000072,Ag2SnTm,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000072.cif,train,-0.08425,0.077,-0.0180033060374955,-0.0094367992272304,4,3
wbm-step1-000073,Ag2SnU,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000073.cif,train,0.03925,0.223,0.0529864161200726,0.0510138289107258,4,3
wbm-step1-000074,Ag2Sn,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000074.cif,train,0.004,0.059,0.0745171111832958,0.0921092240615407,9,2
wbm-step1-000075,Ag2SnYb,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000075.cif,train,-0.1055,0.01,-0.0102180242312542,0.010136954399304,4,3
wbm-step1-000076,Ag2TaTl,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000076.cif,train,0.17025,0.681,0.1032802508702746,0.0769520646818915,4,3
wbm-step1-000077,Ag2Ta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000077.cif,train,0.0936666666666666,0.281,0.063870929687617,0.0543657152815061,3,2
wbm-step1-000078,Ag2Tb,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000078.cif,train,-0.0471666666666666,-0.003,-0.0245012055691689,-0.0190082250039091,6,2
wbm-step1-000079,Ag2Te,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000079.cif,train,-0.005,-0.028,0.0564694916063092,0.0705662196149178,12,2
wbm-step1-000080,Ag2Te,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000080.cif,train,-0.0056666666666666,-0.035,0.0561421114320959,0.0705662196149178,12,2
wbm-step1-000082,Ag2Th,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000082.cif,train,-0.0289999999999999,-0.044,-0.0134326008522062,-0.0139015187574376,6,2
wbm-step1-000083,Ag2TlBi,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000083.cif,train,0.027,0.118,0.0229945257865894,0.0420471912921847,4,3
wbm-step1-000084,Ag2TlNp,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000084.cif,train,0.074,0.296,-0.4091350093675295,-0.4063972776065931,4,3
wbm-step1-000085,Ag2TlPu,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000085.cif,train,0.018,0.083,0.0340716883823394,0.0416500745947963,4,3
wbm-step1-000086,Ag2TlTh,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000086.cif,train,-0.0285,0.046,0.0195248290080974,0.0257516391526836,4,3
wbm-step1-000087,Ag2TlU,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000087.cif,train,0.08325,0.333,0.0775006586112178,0.0747844651843134,4,3
wbm-step1-000089,Ag2Tm,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000089.cif,train,-0.0438333333333333,0.022,-0.0307554432739133,-0.0291252548992064,6,2
wbm-step1-000090,Ag2U,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000090.cif,train,0.1009999999999999,0.303,0.0548404995091492,0.0514755826180686,3,2
wbm-step1-000091,Ag2U,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000091.cif,train,0.0391666666666666,0.235,0.0532487763973228,0.0514755826180686,6,2
wbm-step1-000092,Ag2YbTl,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000092.cif,train,-0.06825,0.028,0.013712797892592,0.0339075906728916,4,3
wbm-step1-000094,Ag3Au,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000094.cif,train,-0.01075,-0.021,0.067405713042299,0.0955827104395818,4,2
wbm-step1-000095,Ag3Bi,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000095.cif,train,0.006125,0.049,0.01053585749989,0.0342068011209133,8,2
wbm-step1-000096,Ag3Bi,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000096.cif,train,0.02175,0.087,0.0130927918086629,0.0342068011209133,4,2
wbm-step1-000097,Ag3Bi,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000097.cif,train,0.005625,0.045,0.0104128414921242,0.0342068011209133,8,2
wbm-step1-000098,Ag3Cd,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000098.cif,train,-0.01375,-0.029,-0.0052876110105825,0.0253179289563549,4,2
wbm-step1-000100,Ag3Dy,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000100.cif,train,-0.02725,0.05,-0.0926905730480721,-0.079351162554677,8,2
wbm-step1-000101,Ag3Er,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000101.cif,train,-0.027625,0.05,-0.0841814075980121,-0.0704925632744397,8,2
wbm-step1-000102,Ag3Eu,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000102.cif,train,-0.021875,0.067,-0.0539075350702732,-0.0363081094993809,8,2
wbm-step1-000103,Ag3Gd,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000103.cif,train,-0.0255,0.031,-0.0258282094962243,-0.0128956516771773,8,2
wbm-step1-000104,Ag3Hg,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000104.cif,train,0.001875,0.015,0.074260353526891,0.1025351449016801,8,2
wbm-step1-000106,Ag3In2La,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000106.cif,train,-0.0335,0.08,-0.0409492075775293,-0.0244313451612677,6,3
wbm-step1-000107,Ag3In,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000107.cif,train,-0.0055,-0.006,0.039442821262765,0.0675632313089082,8,2
wbm-step1-000108,Ag3Ir,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000108.cif,train,0.10525,0.421,0.0821028680432392,0.0815742368185922,4,2
wbm-step1-000109,Ag3Ir,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000109.cif,train,0.104,0.416,0.0813778672036132,0.0815742368185922,4,2
wbm-step1-000110,Ag3La,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000110.cif,train,-0.0255,0.046,-0.0174270179412132,-0.0017491520627747,8,2
wbm-step1-000111,Ag3La,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000111.cif,train,-0.0495,0.052,-0.0172503947514224,-0.0017491520627747,4,2
wbm-step1-000112,Ag3Nd,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000112.cif,train,-0.024625,0.062,-0.1034021253051902,-0.0904855092916781,8,2
wbm-step1-000113,Ag3Np,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000113.cif,train,0.028375,0.227,-0.4215368988666411,-0.4142376677778644,8,2
wbm-step1-000114,Ag3Pb,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000114.cif,train,0.019,0.076,0.0327435136159981,0.0582006298325429,4,2
wbm-step1-000115,Ag3Pb,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000115.cif,train,0.006,0.048,0.0314111996471663,0.0582006298325429,8,2
wbm-step1-000117,Ag3Pr,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000117.cif,train,-0.023875,0.066,0.0037706257414046,0.0169107005589692,8,2
wbm-step1-000120,Ag3Sn,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000120.cif,train,-0.002625,-0.021,0.073117147507606,0.097419306095646,8,2
wbm-step1-000122,Ag3Ta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000122.cif,train,0.061125,0.489,0.0846826228560555,0.0691116745106202,8,2
wbm-step1-000123,Ag3Te2Cs,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000123.cif,train,-0.03375,-0.013,-0.0356555094577606,-0.0125195984780897,12,3
wbm-step1-000124,Ag3Th,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000124.cif,train,-0.007375,0.1,0.0145482037806386,0.0179112489814123,8,2
wbm-step1-000125,Ag3Tl,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000125.cif,train,0.0235,0.094,0.0949443352857517,0.1211899423692336,4,2
wbm-step1-000126,Ag3Tm,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000126.cif,train,-0.02775,0.052,-0.0043698369214776,0.0064934468750857,8,2
wbm-step1-000128,Ag3Yb,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000128.cif,train,-0.035875,0.032,0.0049288222911744,0.0260672005016202,8,2
wbm-step1-000129,Ag4Ce,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000129.cif,train,-0.0198,0.011,0.0233467303307033,0.0367276602783033,5,2
wbm-step1-000133,Ag4Ho,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000133.cif,train,-0.046,-0.007,-0.0361540477965898,-0.0153340044270512,5,2
wbm-step1-000134,Ag4In,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000134.cif,train,-0.0068,0.001,0.0477127418736448,0.0767204954867191,5,2
wbm-step1-000136,Ag4Nd,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000136.cif,train,-0.0394,0.035,-0.0681006857125883,-0.04971849699375,5,2
wbm-step1-000137,Ag4Pr,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000137.cif,train,-0.038,0.039,0.0178405091575319,0.0361984708867679,5,2
wbm-step1-000138,Ag4Sm,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000138.cif,train,-0.0414,0.025,0.0126459785338576,0.0291548656857643,5,2
wbm-step1-000139,Ag4Tb,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000139.cif,train,-0.045,0.006,0.0147690354586563,0.0339348858768394,5,2
wbm-step1-000141,Ag4Tm,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000141.cif,train,-0.0468,-0.03,0.0097535623198739,0.027864667939661,5,2
wbm-step1-000142,Ag4U,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000142.cif,train,0.053,0.265,0.0730358518108581,0.0762251704500261,5,2
wbm-step1-000144,Ag5Sn,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000144.cif,train,-0.0025,0.002,0.07549160589212,0.1027293881297515,6,2
wbm-step1-000145,AgAu2Bi,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000145.cif,train,0.0165,0.116,-0.011475815129898,-0.0013268823958475,4,3
wbm-step1-000146,AgAu2Hg,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000146.cif,train,0.01,0.071,0.0521244385351862,0.0670014613849192,4,3
wbm-step1-000150,AgAuTh2,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000150.cif,train,-0.076,0.077,-0.0745376366143292,-0.0952938959935181,4,3
wbm-step1-000151,AgAuU2,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000151.cif,train,0.09075,0.473,0.0312340426885843,0.0027717560697413,4,3
wbm-step1-000152,AgBa2Au,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000152.cif,train,-0.11475,0.043,-0.1587270546256682,-0.1703417320160878,4,3
wbm-step1-000153,AgBa2Bi,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000153.cif,train,-0.164,0.02,-0.2320324803074896,-0.2317176413347564,4,3
wbm-step1-000154,AgBa2Pb,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000154.cif,train,-0.101,0.059,-0.1967342548149828,-0.2077238126231268,4,3
wbm-step1-000155,AgBa2Pt,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000155.cif,train,-0.11625,0.075,-0.1802366602002634,-0.1997753056270462,4,3
wbm-step1-000156,AgBaBi,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000156.cif,train,-0.1095,-0.079,-0.1893778137135985,-0.1694570775418828,6,3
wbm-step1-000157,AgBaHg2,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000157.cif,train,-0.07025,0.095,-0.0535714199863175,-0.0412414836224369,4,3
wbm-step1-000158,AgBa,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000158.cif,train,-0.0695,-0.024,-0.1365882343679115,-0.1525748902577074,4,2
wbm-step1-000159,AgBi,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000159.cif,train,0.074,0.148,-0.0573765826938683,-0.0449359499561356,2,2
wbm-step1-000160,AgCd2Ac,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000160.cif,train,-0.0425,0.079,-0.1264079569686897,-0.1075680394064459,4,3
wbm-step1-000161,AgCd2Ir,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000161.cif,train,0.02675,0.158,-0.1039843428639686,-0.0944890096646224,4,3
