formula,id_i,id_j,true_E_i_ev_atom,true_E_j_ev_atom,delta_true_mev_atom,near_degenerate,near_degenerate_threshold_mev_atom
Li9Mn2Co5O16,mb-mp-e-form-077935,mb-mp-e-form-079108,-1.83048957756,-1.853685329747499,23.195752187499032,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-077935,mb-mp-e-form-080138,-1.83048957756,-1.868386694435,37.897116874999966,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-077935,mb-mp-e-form-080157,-1.83048957756,-1.8688963041225,38.406726562499884,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-077935,mb-mp-e-form-080166,-1.83048957756,-1.8582940819349991,27.80450437499904,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-078150,mb-mp-e-form-078891,-1.81778921381,-1.8370078216225,19.218607812500068,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-078150,mb-mp-e-form-079108,-1.81778921381,-1.853685329747499,35.89611593749908,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-078150,mb-mp-e-form-080138,-1.81778921381,-1.868386694435,50.597480625000024,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-078150,mb-mp-e-form-080157,-1.81778921381,-1.8688963041225,51.107090312499935,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-078150,mb-mp-e-form-080166,-1.81778921381,-1.8582940819349991,40.50486812499909,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-078891,mb-mp-e-form-079108,-1.8370078216225,-1.853685329747499,16.67750812499902,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-078891,mb-mp-e-form-080138,-1.8370078216225,-1.868386694435,31.378872812499957,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-078891,mb-mp-e-form-080157,-1.8370078216225,-1.8688963041225,31.88848249999987,False,25.0
Li9Mn2Co5O16,mb-mp-e-form-078891,mb-mp-e-form-080166,-1.8370078216225,-1.8582940819349991,21.286260312499028,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-079108,mb-mp-e-form-080138,-1.853685329747499,-1.868386694435,14.70136468750094,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-079108,mb-mp-e-form-080157,-1.853685329747499,-1.8688963041225,15.210974375000852,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-079108,mb-mp-e-form-080166,-1.853685329747499,-1.8582940819349991,4.608752187500009,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-080138,mb-mp-e-form-080157,-1.868386694435,-1.8688963041225,0.5096096874999123,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-080138,mb-mp-e-form-080166,-1.868386694435,-1.8582940819349991,-10.09261250000093,True,25.0
Li9Mn2Co5O16,mb-mp-e-form-080157,mb-mp-e-form-080166,-1.8688963041225,-1.8582940819349991,-10.602222187500843,True,25.0
LiCoPO4,mb-mp-e-form-097439,mb-mp-e-form-097693,-2.3507967895918376,-2.354606112568028,3.809322976190632,True,25.0
LiCoPO4,mb-mp-e-form-097439,mb-mp-e-form-099910,-2.3507967895918376,-2.422350539591837,71.55374999999964,False,25.0
LiCoPO4,mb-mp-e-form-097439,mb-mp-e-form-101166,-2.3507967895918376,-2.4269979229251697,76.20113333333211,False,25.0
LiCoPO4,mb-mp-e-form-097693,mb-mp-e-form-099910,-2.354606112568028,-2.422350539591837,67.74442702380901,False,25.0
LiCoPO4,mb-mp-e-form-097693,mb-mp-e-form-101166,-2.354606112568028,-2.4269979229251697,72.39181035714148,False,25.0
LiCoPO4,mb-mp-e-form-099910,mb-mp-e-form-101166,-2.422350539591837,-2.4269979229251697,4.647383333332478,True,25.0
LiFeF4,mb-mp-e-form-117673,mb-mp-e-form-120655,-2.82329319996,-2.92225494996,98.96174999999997,False,25.0
LiFePO4,mb-mp-e-form-102454,mb-mp-e-form-104411,-2.46468944840136,-2.487853460068028,23.16401166666804,True,25.0
LiMn2F5,mb-mp-e-form-121664,mb-mp-e-form-122684,-2.97029034723375,-3.006676414525417,36.38606729166671,False,25.0
LiMn3O6,mb-mp-e-form-083521,mb-mp-e-form-083525,-1.9513971025379988,-1.9532080610379992,1.810958500000348,True,25.0
LiMnP2O7,mb-mp-e-form-106309,mb-mp-e-form-107227,-2.533834899226884,-2.5701349476359736,36.3000484090894,False,25.0
LiMnPO4,mb-mp-e-form-107503,mb-mp-e-form-108717,-2.568003934728978,-2.5913890861575504,23.38515142857256,True,25.0
LiTl2Pd,mb-mp-e-form-002190,mb-mp-e-form-022101,0.9618426024999996,-0.2456731100000002,1207.5157124999998,False,25.0
Mg(NiO2)2,mb-mp-e-form-065841,mb-mp-e-form-066833,-1.3641630728571426,-1.4102336435714289,46.07057071428633,False,25.0
Mn12O5F19,mb-mp-e-form-112692,mb-mp-e-form-112709,-2.677112367371668,-2.679072881816112,1.9605144444438949,True,25.0
MnFeCo(PO4)3,mb-mp-e-form-095893,mb-mp-e-form-095902,-2.316210258188254,-2.321036579854921,4.826321666666633,True,25.0
MnO2,mb-mp-e-form-076394,mb-mp-e-form-077315,-1.7789299661533338,-1.8025836686533327,23.653702499998985,True,25.0
Na5(AsO9)2,mb-mp-e-form-039106,mb-mp-e-form-052239,-0.557822848300001,-0.8465394741,288.716625799999,False,25.0
SbH3CS2N,mb-mp-e-form-012797,mb-mp-e-form-014185,0.0106936096731251,-0.0337812140768747,44.47482374999979,False,25.0
SiO2,mb-mp-e-form-121397,mb-mp-e-form-123319,-2.980492116666666,-3.027880471458333,47.38835479166692,False,25.0
SiO2,mb-mp-e-form-121397,mb-mp-e-form-126400,-2.980492116666666,-3.1928602139583333,212.36809729166728,False,25.0
SiO2,mb-mp-e-form-121397,mb-mp-e-form-127368,-2.980492116666666,-3.2589161172222223,278.4240005555563,False,25.0
SiO2,mb-mp-e-form-121397,mb-mp-e-form-127427,-2.980492116666666,-3.2730356416666675,292.54352500000147,False,25.0
SiO2,mb-mp-e-form-123319,mb-mp-e-form-126400,-3.027880471458333,-3.1928602139583333,164.97974250000036,False,25.0
SiO2,mb-mp-e-form-123319,mb-mp-e-form-127368,-3.027880471458333,-3.2589161172222223,231.03564576388936,False,25.0
SiO2,mb-mp-e-form-123319,mb-mp-e-form-127427,-3.027880471458333,-3.2730356416666675,245.15517020833454,False,25.0
SiO2,mb-mp-e-form-126400,mb-mp-e-form-127368,-3.1928602139583333,-3.2589161172222223,66.055903263889,False,25.0
SiO2,mb-mp-e-form-126400,mb-mp-e-form-127427,-3.1928602139583333,-3.2730356416666675,80.17542770833418,False,25.0
SiO2,mb-mp-e-form-127368,mb-mp-e-form-127427,-3.2589161172222223,-3.2730356416666675,14.119524444445197,True,25.0
Te2Mo,mb-mp-e-form-022936,mb-mp-e-form-023764,-0.2691759124999997,-0.2545057458333334,-14.670166666666319,True,25.0
Ti(FeO2)2,mb-mp-e-form-101049,mb-mp-e-form-102838,-2.425305783095238,-2.4799577170238103,54.65193392857248,False,25.0
Zn2SiO4,mb-mp-e-form-099763,mb-mp-e-form-102197,-2.4064686303571428,-2.4580491604761896,51.58053011904684,False,25.0
ZrTi2(PbO3)3,mb-mp-e-form-115102,mb-mp-e-form-115103,-2.7648721149722224,-2.773343075638889,8.470960666666638,True,25.0
