id,formula,reduced_formula,target_chemical_system,source_structure_seen,source_formula_seen,source_chemical_system_seen
mb-mp-e-form-001853,ReRuBr,ReRuBr,Br-Re-Ru,True,True,True
mb-mp-e-form-001914,LaEuZn2,LaEuZn2,Eu-La-Zn,True,True,True
mb-mp-e-form-002027,Pt(NCl)2,Pt(NCl)2,Cl-N-Pt,False,False,False
mb-mp-e-form-002185,NaYAu2,NaYAu2,Au-Na-Y,False,False,False
mb-mp-e-form-002190,LiTl2Pd,LiTl2Pd,Li-Pd-Tl,False,False,True
mb-mp-e-form-002213,TlCd2Bi,TlCd2Bi,Bi-Cd-Tl,False,False,False
mb-mp-e-form-002327,CSN2,CSN2,C-N-S,False,False,True
mb-mp-e-form-002333,CdC7S3N4,CdC7S3N4,C-Cd-N-S,False,False,True
mb-mp-e-form-002334,KPu,KPu,K-Pu,False,False,False
mb-mp-e-form-002586,Na2Mg2As,Na2Mg2As,As-Mg-Na,False,False,True
mb-mp-e-form-002591,Rb4C,Rb4C,C-Rb,False,False,True
mb-mp-e-form-002603,Ho2FeSi2,Ho2FeSi2,Fe-Ho-Si,False,False,True
mb-mp-e-form-002614,U4Co,U4Co,Co-U,False,False,True
mb-mp-e-form-002937,Na3Pu,Na3Pu,Na-Pu,True,True,True
mb-mp-e-form-002982,Mg6NbC,Mg6NbC,C-Mg-Nb,False,False,False
mb-mp-e-form-003022,MnCoSn,MnCoSn,Co-Mn-Sn,True,True,True
mb-mp-e-form-003116,NaHg2Sb,NaHg2Sb,Hg-Na-Sb,False,False,False
mb-mp-e-form-003169,RbMg6B,RbMg6B,B-Mg-Rb,False,False,False
mb-mp-e-form-003170,CsMg6Mo,CsMg6Mo,Cs-Mg-Mo,False,False,False
mb-mp-e-form-003290,Fe3H,Fe3H,Fe-H,False,True,True
mb-mp-e-form-003389,Rb3Y,Rb3Y,Rb-Y,False,False,False
mb-mp-e-form-003442,Mo,Mo,Mo,False,True,True
mb-mp-e-form-003509,MnAu3,MnAu3,Au-Mn,False,False,True
mb-mp-e-form-003557,Tb4Mn,Tb4Mn,Mn-Tb,False,False,True
mb-mp-e-form-003688,CN,CN,C-N,True,True,True
mb-mp-e-form-003716,As(CN)3,As(CN)3,As-C-N,True,True,True
mb-mp-e-form-003754,NbRu2Cl,NbRu2Cl,Cl-Nb-Ru,True,True,True
mb-mp-e-form-003771,TlCoMo2,TlCoMo2,Co-Mo-Tl,True,True,True
mb-mp-e-form-003831,K3Y,K3Y,K-Y,False,False,False
mb-mp-e-form-003883,TbU3,TbU3,Tb-U,True,True,True
mb-mp-e-form-003915,YC,YC,C-Y,True,True,True
mb-mp-e-form-004086,Mg6AlB,Mg6AlB,Al-B-Mg,False,False,True
mb-mp-e-form-004148,CoTeMo,CoTeMo,Co-Mo-Te,False,False,False
mb-mp-e-form-004156,Si,Si,Si,False,True,True
mb-mp-e-form-004253,Nb(H2Se)2,Nb(H2Se)2,H-Nb-Se,False,False,False
mb-mp-e-form-004442,SiPb3,SiPb3,Pb-Si,False,False,False
mb-mp-e-form-004597,Na(TmS2)3,Na(TmS2)3,Na-S-Tm,False,False,True
mb-mp-e-form-004621,Pb4Au,Pb4Au,Au-Pb,False,False,True
mb-mp-e-form-004652,Ba4Al,Ba4Al,Al-Ba,False,False,True
mb-mp-e-form-004874,H3Pt,H3Pt,H-Pt,True,True,True
mb-mp-e-form-004917,OsN,OsN,N-Os,True,True,True
mb-mp-e-form-004959,SrMg6Cr,SrMg6Cr,Cr-Mg-Sr,False,False,False
mb-mp-e-form-004972,Mg6NbCr,Mg6NbCr,Cr-Mg-Nb,False,False,False
mb-mp-e-form-005135,Mg15C,Mg15C,C-Mg,False,False,True
mb-mp-e-form-005138,Mg14SbC,Mg14SbC,C-Mg-Sb,False,False,False
mb-mp-e-form-005265,U,U,U,False,True,True
mb-mp-e-form-005398,AlGe3,AlGe3,Al-Ge,False,False,False
mb-mp-e-form-005535,Th3Ta,Th3Ta,Ta-Th,False,False,False
mb-mp-e-form-005622,Nd2(SiPt)3,Nd2(SiPt)3,Nd-Pt-Si,False,False,True
mb-mp-e-form-005710,VRu4,VRu4,Ru-V,False,False,True
mb-mp-e-form-005738,K2Fe2Co2C12N12O,K2Fe2Co2C12N12O,C-Co-Fe-K-N-O,False,False,False
mb-mp-e-form-005894,Np3Be,Np3Be,Be-Np,True,True,True
mb-mp-e-form-005940,CaC2,CaC2,C-Ca,True,True,True
mb-mp-e-form-005994,HfMg6Ti,HfMg6Ti,Hf-Mg-Ti,False,False,False
mb-mp-e-form-006111,Mg14NbMo,Mg14NbMo,Mg-Mo-Nb,False,False,False
mb-mp-e-form-006164,CsKMg14,CsKMg14,Cs-K-Mg,False,False,False
mb-mp-e-form-006219,Mg14NiW,Mg14NiW,Mg-Ni-W,False,False,False
mb-mp-e-form-006273,MgSi2,MgSi2,Mg-Si,False,True,True
mb-mp-e-form-006554,LiDy3,LiDy3,Dy-Li,False,True,True
mb-mp-e-form-006563,MgCo3,MgCo3,Co-Mg,False,False,True
mb-mp-e-form-006575,Nd3Hf,Nd3Hf,Hf-Nd,False,False,True
mb-mp-e-form-006610,TbHf,TbHf,Hf-Tb,False,False,False
mb-mp-e-form-006663,SnSe,SnSe,Se-Sn,False,True,True
mb-mp-e-form-006794,Fe2Sn,Fe2Sn,Fe-Sn,True,True,True
mb-mp-e-form-006831,Mn2SbTe,Mn2SbTe,Mn-Sb-Te,True,True,True
mb-mp-e-form-007027,YMg6Cr,YMg6Cr,Cr-Mg-Y,False,False,False
mb-mp-e-form-007092,RbNaMg14,RbNaMg14,Mg-Na-Rb,False,False,False
mb-mp-e-form-007117,KBaMg14,KBaMg14,Ba-K-Mg,False,False,False
mb-mp-e-form-007171,HfMg14V,HfMg14V,Hf-Mg-V,False,False,False
mb-mp-e-form-007175,Mg14VCr,Mg14VCr,Cr-Mg-V,False,False,False
mb-mp-e-form-007311,Mg4Si7,Mg4Si7,Mg-Si,False,False,True
mb-mp-e-form-007381,Mg3Si4,Mg3Si4,Mg-Si,False,False,True
mb-mp-e-form-007495,Mg6FeNi,Mg6FeNi,Fe-Mg-Ni,False,False,False
mb-mp-e-form-007524,Zn(NCl2)2,Zn(NCl2)2,Cl-N-Zn,False,False,False
mb-mp-e-form-007560,Ca3Dy,Ca3Dy,Ca-Dy,False,False,False
mb-mp-e-form-007579,Ga3P,Ga3P,Ga-P,False,False,True
mb-mp-e-form-007596,K3Mg,K3Mg,K-Mg,False,False,False
mb-mp-e-form-007643,SrPm3,SrPm3,Pm-Sr,False,False,False
mb-mp-e-form-007652,UMn3,UMn3,Mn-U,False,False,True
mb-mp-e-form-007725,TiCr,TiCr,Cr-Ti,False,False,True
mb-mp-e-form-007734,Ni2C15Se4S16N,Ni2C15Se4S16N,C-N-Ni-S-Se,False,False,False
mb-mp-e-form-007782,Ge,Ge,Ge,True,True,True
mb-mp-e-form-007861,Te8I3,Te8I3,I-Te,True,True,True
mb-mp-e-form-007887,Rb3In,Rb3In,In-Rb,False,False,True
mb-mp-e-form-007933,TlAs,TlAs,As-Tl,True,True,True
mb-mp-e-form-008056,SrMg14Ti,SrMg14Ti,Mg-Sr-Ti,False,False,False
mb-mp-e-form-008304,Mg7Si4,Mg7Si4,Mg-Si,False,False,True
mb-mp-e-form-008347,Mg5Si6,Mg5Si6,Mg-Si,False,True,True
mb-mp-e-form-008438,DyMn2,DyMn2,Dy-Mn,False,True,True
mb-mp-e-form-008441,YbFe2,YbFe2,Fe-Yb,False,True,True
mb-mp-e-form-008530,Eu3Er,Eu3Er,Er-Eu,False,False,False
mb-mp-e-form-008770,Be4CuSi,Be4CuSi,Be-Cu-Si,False,False,False
mb-mp-e-form-008776,AlC4NCl2,AlC4NCl2,Al-C-Cl-N,False,False,True
mb-mp-e-form-009054,LaMg14Ti,LaMg14Ti,La-Mg-Ti,False,False,False
mb-mp-e-form-009082,LiMg14Cr,LiMg14Cr,Cr-Li-Mg,False,False,False
mb-mp-e-form-009270,Mg4Si3,Mg4Si3,Mg-Si,False,False,True
mb-mp-e-form-009318,MgTi2,MgTi2,Mg-Ti,False,False,True
mb-mp-e-form-009351,CaCeMg14,CaCeMg14,Ca-Ce-Mg,False,False,True
mb-mp-e-form-009751,Cu2Te,Cu2Te,Cu-Te,True,True,True
mb-mp-e-form-009943,CrN2,CrN2,Cr-N,True,True,True
mb-mp-e-form-010006,BaMg6Al,BaMg6Al,Al-Ba-Mg,False,False,False
mb-mp-e-form-010068,Mg14CuSi,Mg14CuSi,Cu-Mg-Si,False,False,True
mb-mp-e-form-010131,SrMg14Al,SrMg14Al,Al-Mg-Sr,False,False,False
mb-mp-e-form-010155,Ca2Mg,Ca2Mg,Ca-Mg,False,False,True
mb-mp-e-form-010207,Mg2Si,Mg2Si,Mg-Si,False,True,True
mb-mp-e-form-010217,Ni(ClO)2,Ni(ClO)2,Cl-Ni-O,False,False,True
mb-mp-e-form-010265,Mg,Mg,Mg,True,True,True
mb-mp-e-form-010315,Ac3Er,Ac3Er,Ac-Er,False,True,True
mb-mp-e-form-010318,AcEu3,AcEu3,Ac-Eu,False,False,False
mb-mp-e-form-010378,Ga3Ag,Ga3Ag,Ag-Ga,False,False,True
mb-mp-e-form-010393,Hf3Ni,Hf3Ni,Hf-Ni,False,False,True
mb-mp-e-form-010462,Pr3Ho,Pr3Ho,Ho-Pr,False,False,True
mb-mp-e-form-010510,Tl3In,Tl3In,In-Tl,False,False,False
mb-mp-e-form-010536,CdP14Pb,CdP14Pb,Cd-P-Pb,False,False,False
mb-mp-e-form-010554,FeCoGe,FeCoGe,Co-Fe-Ge,False,True,True
mb-mp-e-form-010564,NbTlO14,NbTlO14,Nb-O-Tl,False,False,True
mb-mp-e-form-010691,CuNiPd,CuNiPd,Cu-Ni-Pd,False,False,False
mb-mp-e-form-010712,Co3Pt,Co3Pt,Co-Pt,False,True,True
mb-mp-e-form-010732,Mn2CoSb,Mn2CoSb,Co-Mn-Sb,True,True,True
mb-mp-e-form-010763,Cu2Se,Cu2Se,Cu-Se,True,True,True
mb-mp-e-form-010776,BaSi23,BaSi23,Ba-Si,True,True,True
mb-mp-e-form-010794,Cu29(Ag6As7)2,Cu29(Ag6As7)2,Ag-As-Cu,True,True,True
mb-mp-e-form-010828,Ce,Ce,Ce,True,True,True
mb-mp-e-form-010884,RbNa3,RbNa3,Na-Rb,False,False,False
mb-mp-e-form-010944,CrN2,CrN2,Cr-N,True,True,True
mb-mp-e-form-010947,CaMg3,CaMg3,Ca-Mg,False,False,True
mb-mp-e-form-010961,Mg6SiSb,Mg6SiSb,Mg-Sb-Si,False,False,False
mb-mp-e-form-011024,Ni,Ni,Ni,True,True,True
mb-mp-e-form-011125,MgAl3,MgAl3,Al-Mg,False,False,True
mb-mp-e-form-011290,Ac3Yb,Ac3Yb,Ac-Yb,False,True,True
mb-mp-e-form-011301,Ba3Sr,Ba3Sr,Ba-Sr,False,False,False
mb-mp-e-form-011322,DyTh3,DyTh3,Dy-Th,False,False,True
mb-mp-e-form-011358,La3Pm,La3Pm,La-Pm,False,False,True
mb-mp-e-form-011425,Pm3Y,Pm3Y,Pm-Y,False,True,True
mb-mp-e-form-011522,H6C2S(BrN)2,H6C2S(BrN)2,Br-C-H-N-S,False,False,True
mb-mp-e-form-011552,P2N6O,P2N6O,N-O-P,False,False,True
mb-mp-e-form-011583,Zr9V9O2,Zr9V9O2,O-V-Zr,False,False,True
mb-mp-e-form-011605,PuUSn6,PuUSn6,Pu-Sn-U,False,False,False
mb-mp-e-form-011634,Lu3Th,Lu3Th,Lu-Th,False,True,True
mb-mp-e-form-011726,SrC2,SrC2,C-Sr,True,True,True
mb-mp-e-form-011774,NiHg4,NiHg4,Hg-Ni,True,True,True
mb-mp-e-form-011857,Pr3Y,Pr3Y,Pr-Y,True,True,True
mb-mp-e-form-011982,CaMg6Zn,CaMg6Zn,Ca-Mg-Zn,False,False,False
mb-mp-e-form-012020,Mg14ZrCd,Mg14ZrCd,Cd-Mg-Zr,False,False,False
mb-mp-e-form-012351,NdLu3,NdLu3,Lu-Nd,False,False,False
mb-mp-e-form-012385,SmMg5,SmMg5,Mg-Sm,False,False,True
mb-mp-e-form-012434,Zn89(Mo2Au5)2,Zn89(Mo2Au5)2,Au-Mo-Zn,False,False,False
mb-mp-e-form-012452,W21S8,W21S8,S-W,False,False,True
mb-mp-e-form-012536,NdCo,NdCo,Co-Nd,False,False,True
mb-mp-e-form-012573,Ga21Ni5,Ga21Ni5,Ga-Ni,False,False,True
mb-mp-e-form-012709,Ta,Ta,Ta,True,True,True
mb-mp-e-form-012742,Pu2Co17,Pu2Co17,Co-Pu,True,True,True
mb-mp-e-form-012797,SbH3CS2N,SbH3CS2N,C-H-N-S-Sb,True,True,True
mb-mp-e-form-012837,ZrBiRh,ZrBiRh,Bi-Rh-Zr,True,True,True
mb-mp-e-form-012838,Ge3N2,Ge3N2,Ge-N,True,True,True
mb-mp-e-form-012880,Sm5Mg,Sm5Mg,Mg-Sm,True,True,True
mb-mp-e-form-013009,Mg14ZnSb,Mg14ZnSb,Mg-Sb-Zn,False,False,False
mb-mp-e-form-013072,ZrSc2,ZrSc2,Sc-Zr,False,False,False
mb-mp-e-form-013093,MgSn,MgSn,Mg-Sn,False,False,True
mb-mp-e-form-013171,MgGa5,MgGa5,Ga-Mg,False,False,True
mb-mp-e-form-013212,Mg2Pb,Mg2Pb,Mg-Pb,False,True,True
mb-mp-e-form-013223,CeFe5,CeFe5,Ce-Fe,True,True,True
mb-mp-e-form-013241,GeH4,GeH4,Ge-H,False,False,False
mb-mp-e-form-013269,Ga3Au,Ga3Au,Au-Ga,False,True,True
mb-mp-e-form-013427,ThMg149,ThMg149,Mg-Th,False,False,True
mb-mp-e-form-013446,FeC4S2N3O5,FeC4S2N3O5,C-Fe-N-O-S,False,False,False
mb-mp-e-form-013447,LiZn13,LiZn13,Li-Zn,False,False,True
mb-mp-e-form-013497,Nd4Pt,Nd4Pt,Nd-Pt,False,False,True
mb-mp-e-form-013534,YFe6Co5W,YFe6Co5W,Co-Fe-W-Y,False,False,False
mb-mp-e-form-013539,VNi,VNi,Ni-V,False,False,True
mb-mp-e-form-013541,VCrMo,VCrMo,Cr-Mo-V,False,False,False
mb-mp-e-form-013642,K15Si92,K15Si92,K-Si,False,False,True
mb-mp-e-form-013659,CoPt,CoPt,Co-Pt,False,True,True
mb-mp-e-form-013675,Ce2Fe17C,Ce2Fe17C,C-Ce-Fe,False,False,False
mb-mp-e-form-013740,PuIr2,PuIr2,Ir-Pu,True,True,True
mb-mp-e-form-013741,P2Se5,P2Se5,P-Se,True,True,True
mb-mp-e-form-013768,TaSn2,TaSn2,Sn-Ta,True,True,True
mb-mp-e-form-013819,Mn(H2N)2,Mn(H2N)2,H-Mn-N,True,True,True
mb-mp-e-form-013888,Mg3Cu,Mg3Cu,Cu-Mg,True,True,True
mb-mp-e-form-013933,CeMg6Bi,CeMg6Bi,Bi-Ce-Mg,False,False,False
mb-mp-e-form-013972,Mg14CdGa,Mg14CdGa,Cd-Ga-Mg,False,False,False
mb-mp-e-form-014075,MgZn,MgZn,Mg-Zn,False,True,True
mb-mp-e-form-014185,SbH3CS2N,SbH3CS2N,C-H-N-S-Sb,False,True,True
mb-mp-e-form-014188,Nd2Al2Fe15,Nd2Al2Fe15,Al-Fe-Nd,False,False,False
mb-mp-e-form-014193,Co(ClO3)2,Co(ClO3)2,Cl-Co-O,False,False,True
mb-mp-e-form-014306,V3Cr,V3Cr,Cr-V,False,False,False
mb-mp-e-form-014344,BaBr2O11,BaBr2O11,Ba-Br-O,False,False,True
mb-mp-e-form-014406,Nd6AlFe13,Nd6AlFe13,Al-Fe-Nd,False,False,False
mb-mp-e-form-014469,Tb2Fe17C,Tb2Fe17C,C-Fe-Tb,False,False,True
mb-mp-e-form-014494,Sm2Ga2Fe15C2,Sm2Ga2Fe15C2,C-Fe-Ga-Sm,False,False,False
mb-mp-e-form-014668,InAs,InAs,As-In,True,True,True
mb-mp-e-form-014698,Ag3SnP7,Ag3SnP7,Ag-P-Sn,True,True,True
mb-mp-e-form-014702,Zn8Ag5,Zn8Ag5,Ag-Zn,True,True,True
mb-mp-e-form-014771,Sb16Te3,Sb16Te3,Sb-Te,True,True,True
mb-mp-e-form-014809,Re3Pd,Re3Pd,Pd-Re,True,True,True
mb-mp-e-form-014844,LiLa2Os,LiLa2Os,La-Li-Os,True,True,True
mb-mp-e-form-015111,Mo3Ir,Mo3Ir,Ir-Mo,True,True,True
mb-mp-e-form-015213,Pm2CoCu,Pm2CoCu,Co-Cu-Pm,False,False,False
mb-mp-e-form-015283,Sm2Fe14B,Sm2Fe14B,B-Fe-Sm,False,False,True
mb-mp-e-form-015305,Cd3As2,Cd3As2,As-Cd,False,True,True
mb-mp-e-form-015386,VWC2,VWC2,C-V-W,False,False,False
mb-mp-e-form-015387,V3Ga,V3Ga,Ga-V,False,True,True
mb-mp-e-form-015388,V2NiSb2,V2NiSb2,Ni-Sb-V,False,False,True
mb-mp-e-form-015447,PrYCo4,PrYCo4,Co-Pr-Y,False,False,False
mb-mp-e-form-015453,Ni4GePt5,Ni4GePt5,Ge-Ni-Pt,False,False,True
mb-mp-e-form-015495,Li13Zn11Ge12,Li13Zn11Ge12,Ge-Li-Zn,False,False,True
mb-mp-e-form-015592,Te2Au,Te2Au,Au-Te,True,True,True
mb-mp-e-form-015652,B20H26O,B20H26O,B-H-O,True,True,True
mb-mp-e-form-015664,Cd7P10,Cd7P10,Cd-P,True,True,True
mb-mp-e-form-015676,Cu4Pd,Cu4Pd,Cu-Pd,True,True,True
mb-mp-e-form-015705,Ge3Os2,Ge3Os2,Ge-Os,True,True,True
mb-mp-e-form-015777,GaCuTe2,GaCuTe2,Cu-Ga-Te,True,True,True
mb-mp-e-form-015801,LiTm2Tc,LiTm2Tc,Li-Tc-Tm,True,True,True
mb-mp-e-form-015819,LuUTc2,LuUTc2,Lu-Tc-U,True,True,True
mb-mp-e-form-015857,Mg5As,Mg5As,As-Mg,True,True,True
mb-mp-e-form-015934,LaMg6Sn,LaMg6Sn,La-Mg-Sn,False,False,False
mb-mp-e-form-015947,Zn2ReN3,Zn2ReN3,N-Re-Zn,False,False,False
mb-mp-e-form-016033,CrN2,CrN2,Cr-N,False,True,True
mb-mp-e-form-016039,CrN2,CrN2,Cr-N,False,True,True
mb-mp-e-form-016222,Mg63Si32Bi,Mg63Si32Bi,Bi-Mg-Si,False,False,False
mb-mp-e-form-016260,TbCo5,TbCo5,Co-Tb,True,True,True
mb-mp-e-form-016295,CePb2,CePb2,Ce-Pb,False,False,True
mb-mp-e-form-016321,Nd4MgCo,Nd4MgCo,Co-Mg-Nd,False,False,True
mb-mp-e-form-016347,La2NiAs2O,La2NiAs2O,As-La-Ni-O,False,False,False
mb-mp-e-form-016474,LiMgIn2,LiMgIn2,In-Li-Mg,False,False,True
mb-mp-e-form-016485,La2TiCo16,La2TiCo16,Co-La-Ti,False,False,False
mb-mp-e-form-016671,Cu2P7,Cu2P7,Cu-P,True,True,True
mb-mp-e-form-016707,CdAs2,CdAs2,As-Cd,True,True,True
mb-mp-e-form-016757,FeI2,FeI2,Fe-I,True,True,True
mb-mp-e-form-016827,HfCdCu2,HfCdCu2,Cd-Cu-Hf,True,True,True
mb-mp-e-form-016835,NdDyMg2,NdDyMg2,Dy-Mg-Nd,True,True,True
mb-mp-e-form-016864,NdErMg2,NdErMg2,Er-Mg-Nd,True,True,True
mb-mp-e-form-016867,PrTmMg2,PrTmMg2,Mg-Pr-Tm,True,True,True
mb-mp-e-form-016893,Ce2MgAl,Ce2MgAl,Al-Ce-Mg,True,True,True
mb-mp-e-form-017109,Nd3Br,Nd3Br,Br-Nd,False,False,True
mb-mp-e-form-017130,SiH8,SiH8,H-Si,False,True,True
mb-mp-e-form-017145,CuCl3O2,CuCl3O2,Cl-Cu-O,False,False,True
mb-mp-e-form-017176,Pr6Fe13Sb,Pr6Fe13Sb,Fe-Pr-Sb,False,False,True
mb-mp-e-form-017267,KCN2,KCN2,C-K-N,False,False,True
mb-mp-e-form-017288,C2S3,C2S3,C-S,False,False,True
mb-mp-e-form-017336,Ti4Ru,Ti4Ru,Ru-Ti,False,False,True
mb-mp-e-form-017358,Sm2TiCo16,Sm2TiCo16,Co-Sm-Ti,False,False,False
mb-mp-e-form-017403,Mn2CdTe3,Mn2CdTe3,Cd-Mn-Te,False,False,False
mb-mp-e-form-017422,Li2GaSi,Li2GaSi,Ga-Li-Si,False,False,True
mb-mp-e-form-017441,K4Sn21Hg2,K4Sn21Hg2,Hg-K-Sn,False,False,False
mb-mp-e-form-017571,Cr3Ge,Cr3Ge,Cr-Ge,True,True,True
mb-mp-e-form-017800,Mg3Hg,Mg3Hg,Hg-Mg,True,True,True
mb-mp-e-form-018015,FeSbTe,FeSbTe,Fe-Sb-Te,False,False,False
mb-mp-e-form-018031,Pu2Si4Mo3,Pu2Si4Mo3,Mo-Pu-Si,False,False,False
mb-mp-e-form-018132,Zr3Pb,Zr3Pb,Pb-Zr,False,False,True
mb-mp-e-form-018162,Mn2(Ni7B2)3,Mn2(Ni7B2)3,B-Mn-Ni,False,False,False
mb-mp-e-form-018170,YbZn13,YbZn13,Yb-Zn,False,False,True
mb-mp-e-form-018256,MnGa2Ni,MnGa2Ni,Ga-Mn-Ni,False,False,True
mb-mp-e-form-018261,Yb4Rh,Yb4Rh,Rh-Yb,False,False,True
mb-mp-e-form-018702,In3Au7,In3Au7,Au-In,True,True,True
mb-mp-e-form-018824,Ni2S,Ni2S,Ni-S,True,True,True
mb-mp-e-form-018833,Ho2CoOs,Ho2CoOs,Co-Ho-Os,True,True,True
mb-mp-e-form-018956,Na5Sn2,Na5Sn2,Na-Sn,False,False,True
mb-mp-e-form-018998,GdFe4B,GdFe4B,B-Fe-Gd,False,False,True
mb-mp-e-form-019035,GaSb,GaSb,Ga-Sb,True,True,True
mb-mp-e-form-019062,Er2MgCd,Er2MgCd,Cd-Er-Mg,False,False,True
mb-mp-e-form-019144,MgAgSb,MgAgSb,Ag-Mg-Sb,False,True,True
mb-mp-e-form-019282,Ag2AsO2,Ag2AsO2,Ag-As-O,False,False,True
mb-mp-e-form-019367,PuAlFe,PuAlFe,Al-Fe-Pu,False,False,False
mb-mp-e-form-019422,LaFeCuNi3,LaFeCuNi3,Cu-Fe-La-Ni,False,False,False
mb-mp-e-form-019574,Mg2Ni,Mg2Ni,Mg-Ni,True,True,True
mb-mp-e-form-019704,Ag3SI,Ag3SI,Ag-I-S,True,True,True
mb-mp-e-form-019741,Ca3Hg,Ca3Hg,Ca-Hg,True,True,True
mb-mp-e-form-019793,Sn3Ru2,Sn3Ru2,Ru-Sn,True,True,True
mb-mp-e-form-019852,ThCdAg2,ThCdAg2,Ag-Cd-Th,True,True,True
mb-mp-e-form-019873,LiCd3,LiCd3,Cd-Li,True,True,True
mb-mp-e-form-019909,NdB12,NdB12,B-Nd,True,True,True
mb-mp-e-form-019920,ZrMn2,ZrMn2,Mn-Zr,True,True,True
mb-mp-e-form-020267,Pr12(MnC3)5,Pr12(MnC3)5,C-Mn-Pr,False,False,False
mb-mp-e-form-020352,ThMn3Al2,ThMn3Al2,Al-Mn-Th,False,False,False
mb-mp-e-form-020437,LaU3Al8,LaU3Al8,Al-La-U,False,False,False
mb-mp-e-form-020639,TiZn2,TiZn2,Ti-Zn,True,True,True
mb-mp-e-form-020656,MnRh,MnRh,Mn-Rh,True,True,True
mb-mp-e-form-020737,Cs4Pb9,Cs4Pb9,Cs-Pb,False,False,False
mb-mp-e-form-020807,LiTaRu2,LiTaRu2,Li-Ru-Ta,True,True,True
mb-mp-e-form-020824,Mn2AlRe,Mn2AlRe,Al-Mn-Re,True,True,True
mb-mp-e-form-020833,CaCeAg2,CaCeAg2,Ag-Ca-Ce,True,True,True
mb-mp-e-form-020847,KTl2Bi,KTl2Bi,Bi-K-Tl,True,True,True
mb-mp-e-form-020896,Cs2NaGaH6,Cs2NaGaH6,Cs-Ga-H-Na,True,True,True
mb-mp-e-form-020959,DyIn5Co,DyIn5Co,Co-Dy-In,False,False,True
mb-mp-e-form-020960,Bi2Pt,Bi2Pt,Bi-Pt,False,True,True
mb-mp-e-form-020961,KNa3H4,KNa3H4,H-K-Na,False,False,True
mb-mp-e-form-021110,Nd3Au,Nd3Au,Au-Nd,False,True,True
mb-mp-e-form-021294,Ho12In3Fe2,Ho12In3Fe2,Fe-Ho-In,False,False,False
mb-mp-e-form-021318,Al21Pt5,Al21Pt5,Al-Pt,False,False,True
mb-mp-e-form-021328,Zn2Si2As3P,Zn2Si2As3P,As-P-Si-Zn,False,False,False
mb-mp-e-form-021412,Mn4SiMoC,Mn4SiMoC,C-Mn-Mo-Si,False,False,False
mb-mp-e-form-021463,DyAlFe2,DyAlFe2,Al-Dy-Fe,False,False,True
mb-mp-e-form-021640,Tl(FeSe)2,Tl(FeSe)2,Fe-Se-Tl,True,True,True
mb-mp-e-form-021651,ScHg3,ScHg3,Hg-Sc,True,True,True
mb-mp-e-form-021658,MnPd3,MnPd3,Mn-Pd,True,True,True
mb-mp-e-form-021709,Rb2ZnN12,Rb2ZnN12,N-Rb-Zn,True,True,True
mb-mp-e-form-021762,CuS4(N2Cl)2,CuS4(N2Cl)2,Cl-Cu-N-S,True,True,True
mb-mp-e-form-021800,AgBrO4,AgBrO4,Ag-Br-O,True,True,True
mb-mp-e-form-021881,ThMgZn2,ThMgZn2,Mg-Th-Zn,True,True,True
