model,split_scope,target_id,target_formula,target_reduced_formula,target_chemical_system,target_natoms,source_id,source_formula,source_reduced_formula,source_chemical_system,source_natoms,overlap_kind,source_note
MEGNet,val,mb-mp-e-form-091795,Mg(MoO2)2,Mg(MoO2)2,Mg-Mo-O,42,mvc-10186,Mg6 Mo12 O24,Mg(MoO2)2,Mg-Mo-O,42,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-093807,ZnCo3(P2O7)2,ZnCo3(P2O7)2,Co-O-P-Zn,44,mvc-884,Zn2 Co6 P8 O28,ZnCo3(P2O7)2,Co-O-P-Zn,44,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-066849,Mg(CuO2)2,Mg(CuO2)2,Cu-Mg-O,14,mvc-4609,Mg2 Cu4 O8,Mg(CuO2)2,Cu-Mg-O,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-130752,CaCrF5,CaCrF5,Ca-Cr-F,28,mvc-3731,Ca4 Cr4 F20,CaCrF5,Ca-Cr-F,28,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-072867,ZnW4O9,ZnW4O9,O-W-Zn,28,mvc-90,Zn2 W8 O18,ZnW4O9,O-W-Zn,28,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-102723,Mn2AlO4,Mn2AlO4,Al-Mn-O,14,mvc-11666,Mn4 Al2 O8,Mn2AlO4,Al-Mn-O,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-078792,Y(NiO2)2,Y(NiO2)2,Ni-O-Y,14,mvc-11663,Y2 Ni4 O8,Y(NiO2)2,Ni-O-Y,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-122809,CaCo(Si2O5)2,CaCo(Si2O5)2,Ca-Co-O-Si,64,mvc-8728,Ca4 Co4 Si16 O40,CaCo(Si2O5)2,Ca-Co-O-Si,64,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-121903,MgTi2P2O9,MgTi2P2O9,Mg-O-P-Ti,56,mvc-9760,Mg4 Ti8 P8 O36,MgTi2P2O9,Mg-O-P-Ti,56,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-105747,Mg2TaCuO6,Mg2TaCuO6,Cu-Mg-O-Ta,20,mvc-4147,Mg4 Ta2 Cu2 O12,Mg2TaCuO6,Cu-Mg-O-Ta,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,val,mb-mp-e-form-102728,CaCo2(P2O7)2,CaCo2(P2O7)2,Ca-Co-O-P,21,mvc-12763,Ca1 Co2 P4 O14,CaCo2(P2O7)2,Ca-Co-O-P,21,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-088759,Mg(FeO2)2,Mg(FeO2)2,Fe-Mg-O,14,mvc-12902,Mg2 Fe4 O8,Mg(FeO2)2,Fe-Mg-O,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-091819,Ca(SbO3)2,Ca(SbO3)2,Ca-O-Sb,18,mvc-1657,Ca2 Sb4 O12,Ca(SbO3)2,Ca-O-Sb,18,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-093762,Mg2VIrO6,Mg2VIrO6,Ir-Mg-O-V,20,mvc-5771,Mg4 V2 Ir2 O12,Mg2VIrO6,Ir-Mg-O-V,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-098808,PrZn(MoO3)2,PrZn(MoO3)2,Mo-O-Pr-Zn,20,mvc-9671,Pr2 Zn2 Mo4 O12,PrZn(MoO3)2,Mo-O-Pr-Zn,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-084792,Cr(GeO3)2,Cr(GeO3)2,Cr-Ge-O,18,mvc-8359,Cr2 Ge4 O12,Cr(GeO3)2,Cr-Ge-O,18,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-115902,SrTiZn(PO4)2,SrTiZn(PO4)2,O-P-Sr-Ti-Zn,26,mvc-2665,Sr2 Ti2 Zn2 P4 O16,SrTiZn(PO4)2,O-P-Sr-Ti-Zn,26,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-069831,Zn3Cu2(AsO4)4,Zn3Cu2(AsO4)4,As-Cu-O-Zn,25,mvc-13145,Zn3 Cu2 As4 O16,Zn3Cu2(AsO4)4,As-Cu-O-Zn,25,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-122735,CaLa2FeO6,CaLa2FeO6,Ca-Fe-La-O,10,mvc-13412,Ca1 La2 Fe1 O6,CaLa2FeO6,Ca-Fe-La-O,10,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,val,mb-mp-e-form-106744,ZnWF5,ZnWF5,F-W-Zn,28,mvc-3753,Zn4 W4 F20,ZnWF5,F-W-Zn,28,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,val,mb-mp-e-form-111251,YCoO3,YCoO3,Co-O-Y,20,mvc-13143,Y4 Co4 O12,YCoO3,Co-O-Y,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-098817,Ba2AlTlV2O7,Ba2AlTlV2O7,Al-Ba-O-Tl-V,13,mvc-3002,Ba2 Al1 Tl1 V2 O7,Ba2AlTlV2O7,Al-Ba-O-Tl-V,13,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-103802,Y4V13Si2(SbO14)2,Y4V13Si2(SbO14)2,O-Sb-Si-V-Y,49,mvc-9516,Y4 V13 Si2 Sb2 O28,Y4V13Si2(SbO14)2,O-Sb-Si-V-Y,49,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-090802,MgMo2O7,MgMo2O7,Mg-Mo-O,20,mvc-7372,Mg2 Mo4 O14,MgMo2O7,Mg-Mo-O,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-109832,Ba2ZnCu3F14,Ba2ZnCu3F14,Ba-Cu-F-Zn,40,mvc-1700,Ba4 Zn2 Cu6 F28,Ba2ZnCu3F14,Ba-Cu-F-Zn,40,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-089828,Sr2AlGaW2O7,Sr2AlGaW2O7,Al-Ga-O-Sr-W,26,mvc-16391,Sr4 Al2 Ga2 W4 O14,Sr2AlGaW2O7,Al-Ga-O-Sr-W,26,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,val,mb-mp-e-form-065898,FeO2,FeO2,Fe-O,24,mvc-5967,Fe8 O16,FeO2,Fe-O,24,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-077800,Zn2FeSbO6,Zn2FeSbO6,Fe-O-Sb-Zn,20,mvc-13702,Zn4 Fe2 Sb2 O12,Zn2FeSbO6,Fe-O-Sb-Zn,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-076785,Zn2SbMoO6,Zn2SbMoO6,Mo-O-Sb-Zn,20,mvc-13704,Zn4 Sb2 Mo2 O12,Zn2SbMoO6,Mo-O-Sb-Zn,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-100783,Ti(WO4)2,Ti(WO4)2,O-Ti-W,22,mvc-652,Ti2 W4 O16,Ti(WO4)2,O-Ti-W,22,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-094752,Mg2CuWO6,Mg2CuWO6,Cu-Mg-O-W,20,mvc-5013,Mg4 Cu2 W2 O12,Mg2CuWO6,Cu-Mg-O-W,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,val,mb-mp-e-form-102739,Ca2BiSbO6,Ca2BiSbO6,Bi-Ca-O-Sb,20,mvc-3973,Ca4 Bi2 Sb2 O12,Ca2BiSbO6,Bi-Ca-O-Sb,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-114745,Mg3Si4(BiO7)2,Mg3Si4(BiO7)2,Bi-Mg-O-Si,46,mvc-4272,Mg6 Si8 Bi4 O28,Mg3Si4(BiO7)2,Bi-Mg-O-Si,46,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-065841,Mg(NiO2)2,Mg(NiO2)2,Mg-Ni-O,28,mvc-12636,Mg4 Ni8 O16,Mg(NiO2)2,Mg-Ni-O,28,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-077867,Ca(TiS2)8,Ca(TiS2)8,Ca-S-Ti,25,mvc-16026,Ca1 Ti8 S16,Ca(TiS2)8,Ca-S-Ti,25,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-046884,MnS2,MnS2,Mn-S,6,mvc-11047,Mn2 S4,MnS2,Mn-S,6,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-106163,V(PO3)4,V(PO3)4,O-P-V,34,mvc-2237,V2 P8 O24,V(PO3)4,O-P-V,34,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-113899,MgV(PO3)4,MgV(PO3)4,Mg-O-P-V,36,mvc-2239,Mg2 V2 P8 O24,MgV(PO3)4,Mg-O-P-V,36,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-102788,Ca3V6(FeO6)4,Ca3V6(FeO6)4,Ca-Fe-O-V,37,mvc-7981,Ca3 V6 Fe4 O24,Ca3V6(FeO6)4,Ca-Fe-O-V,37,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-114869,CaV2O4,CaV2O4,Ca-O-V,42,mvc-10172,Ca6 V12 O24,CaV2O4,Ca-O-V,42,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-092835,Mg(FeO2)2,Mg(FeO2)2,Fe-Mg-O,42,mvc-9917,Mg6 Fe12 O24,Mg(FeO2)2,Fe-Mg-O,42,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-126752,MgTi2O4,MgTi2O4,Mg-O-Ti,42,mvc-5132,Mg6 Ti12 O24,MgTi2O4,Mg-O-Ti,42,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-108752,ZnCo(SiO3)2,ZnCo(SiO3)2,Co-O-Si-Zn,20,mvc-5137,Zn2 Co2 Si4 O12,ZnCo(SiO3)2,Co-O-Si-Zn,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-076858,Ba2AlW3O7,Ba2AlW3O7,Al-Ba-O-W,13,mvc-1325,Ba2 Al1 W3 O7,Ba2AlW3O7,Al-Ba-O-W,13,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-065903,BaAlW4O7,BaAlW4O7,Al-Ba-O-W,26,mvc-1329,Ba2 Al2 W8 O14,BaAlW4O7,Al-Ba-O-W,26,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-071866,BiMoO5,BiMoO5,Bi-Mo-O,28,mvc-9130,Bi4 Mo4 O20,BiMoO5,Bi-Mo-O,28,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-121920,Sr2Ti2GaO7,Sr2Ti2GaO7,Ga-O-Sr-Ti,24,mvc-10750,Sr4 Ti4 Ga2 O14,Sr2Ti2GaO7,Ga-O-Sr-Ti,24,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-099793,CaMn2O4,CaMn2O4,Ca-Mn-O,28,mvc-7242,Ca4 Mn8 O16,CaMn2O4,Ca-Mn-O,28,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-107804,LaFeWO6,LaFeWO6,Fe-La-O-W,18,mvc-8985,La2 Fe2 W2 O12,LaFeWO6,Fe-La-O-W,18,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,val,mb-mp-e-form-111234,Ca3Mn2O7,Ca3Mn2O7,Ca-Mn-O,24,mvc-11576,Ca6 Mn4 O14,Ca3Mn2O7,Ca-Mn-O,24,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-080858,Ba2Tl2Zn2Cr3O10,Ba2Tl2Zn2Cr3O10,Ba-Cr-O-Tl-Zn,19,mvc-3164,Ba2 Tl2 Zn2 Cr3 O10,Ba2Tl2Zn2Cr3O10,Ba-Cr-O-Tl-Zn,19,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-115877,Ti2ZnO4,Ti2ZnO4,O-Ti-Zn,28,mvc-6621,Ti8 Zn4 O16,Ti2ZnO4,O-Ti-Zn,28,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-065878,Ba2AlAg3O8,Ba2AlAg3O8,Ag-Al-Ba-O,14,mvc-725,Ba2 Al1 Ag3 O8,Ba2AlAg3O8,Ag-Al-Ba-O,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-117907,MgCo(SiO3)2,MgCo(SiO3)2,Co-Mg-O-Si,80,mvc-6878,Mg8 Co8 Si16 O48,MgCo(SiO3)2,Co-Mg-O-Si,80,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-077857,Ba2Tl2Sb3O10,Ba2Tl2Sb3O10,Ba-O-Sb-Tl,17,mvc-2682,Ba2 Tl2 Sb3 O10,Ba2Tl2Sb3O10,Ba-O-Sb-Tl,17,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-115734,La2MgNiO6,La2MgNiO6,La-Mg-Ni-O,10,mvc-15460,La2 Mg1 Ni1 O6,La2MgNiO6,La-Mg-Ni-O,10,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,val,mb-mp-e-form-114903,SrMgCu(PO4)2,SrMgCu(PO4)2,Cu-Mg-O-P-Sr,26,mvc-2684,Sr2 Mg2 Cu2 P4 O16,SrMgCu(PO4)2,Cu-Mg-O-P-Sr,26,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-110841,Ta2WO8,Ta2WO8,O-Ta-W,22,mvc-2975,Ta4 W2 O16,Ta2WO8,O-Ta-W,22,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-091764,WO3,WO3,O-W,16,mvc-15643,W4 O12,WO3,O-W,16,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-087770,MnF4,MnF4,F-Mn,10,mvc-2979,Mn2 F8,MnF4,F-Mn,10,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-117742,Mg2TaFeO6,Mg2TaFeO6,Fe-Mg-O-Ta,20,mvc-4359,Mg4 Ta2 Fe2 O12,Mg2TaFeO6,Fe-Mg-O-Ta,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-052875,Al(CuO2)3,Al(CuO2)3,Al-Cu-O,10,mvc-11181,Al1 Cu3 O6,Al(CuO2)3,Al-Cu-O,10,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,val,mb-mp-e-form-105740,Al2Fe3(PO5)3,Al2Fe3(PO5)3,Al-Fe-O-P,92,mvc-13581,Al8 Fe12 P12 O60,Al2Fe3(PO5)3,Al-Fe-O-P,92,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-097746,Mg3Fe2(GeO4)3,Mg3Fe2(GeO4)3,Fe-Ge-Mg-O,80,mvc-4828,Mg12 Fe8 Ge12 O48,Mg3Fe2(GeO4)3,Fe-Ge-Mg-O,80,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-072883,BaYNi4O7,BaYNi4O7,Ba-Ni-O-Y,26,mvc-1309,Ba2 Y2 Ni8 O14,BaYNi4O7,Ba-Ni-O-Y,26,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,val,mb-mp-e-form-050679,Ca5(CoN2)2,Ca5(CoN2)2,Ca-Co-N,44,mvc-16358,Ca20 Co8 N16,Ca5(CoN2)2,Ca-Co-N,44,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-084769,SnO2,SnO2,O-Sn,3,mvc-11686,Sn1 O2,SnO2,O-Sn,3,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-096818,Ba2AlV3O7,Ba2AlV3O7,Al-Ba-O-V,13,mvc-1300,Ba2 Al1 V3 O7,Ba2AlV3O7,Al-Ba-O-V,13,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-096730,CaMnWO6,CaMnWO6,Ca-Mn-O-W,18,mvc-11373,Ca2 Mn2 W2 O12,CaMnWO6,Ca-Mn-O-W,18,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-090762,Ba2Ca2Tl2Sn3O10,Ba2Ca2Tl2Sn3O10,Ba-Ca-O-Sn-Tl,19,mvc-2768,Ba2 Ca2 Tl2 Sn3 O10,Ba2Ca2Tl2Sn3O10,Ba-Ca-O-Sn-Tl,19,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-068831,SbO2,SbO2,O-Sb,3,mvc-12866,Sb1 O2,SbO2,O-Sb,3,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-081783,Ca(TiS2)4,Ca(TiS2)4,Ca-S-Ti,13,mvc-11744,Ca1 Ti4 S8,Ca(TiS2)4,Ca-S-Ti,13,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-067832,Ca(NiO2)2,Ca(NiO2)2,Ca-Ni-O,14,mvc-12096,Ca2 Ni4 O8,Ca(NiO2)2,Ca-Ni-O,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-097751,VO2,VO2,O-V,48,mvc-5310,V16 O32,VO2,O-V,48,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-102747,Y(FeO2)2,Y(FeO2)2,Fe-O-Y,14,mvc-4611,Y2 Fe4 O8,Y(FeO2)2,Fe-O-Y,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-073881,Mg(CoO2)2,Mg(CoO2)2,Co-Mg-O,14,mvc-6403,Mg2 Co4 O8,Mg(CoO2)2,Co-Mg-O,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-103814,MgCr2O4,MgCr2O4,Cr-Mg-O,14,mvc-6401,Mg2 Cr4 O8,MgCr2O4,Cr-Mg-O,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-074850,MgMn3O7,MgMn3O7,Mg-Mn-O,44,mvc-9172,Mg4 Mn12 O28,MgMn3O7,Mg-Mn-O,44,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-116935,CaFeP2O7,CaFeP2O7,Ca-Fe-O-P,44,mvc-1360,Ca4 Fe4 P8 O28,CaFeP2O7,Ca-Fe-O-P,44,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-055863,Zn(NiO2)2,Zn(NiO2)2,Ni-O-Zn,28,mvc-12658,Zn4 Ni8 O16,Zn(NiO2)2,Ni-O-Zn,28,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-079849,Y(CoO2)3,Y(CoO2)3,Co-O-Y,40,mvc-16379,Y4 Co12 O24,Y(CoO2)3,Co-O-Y,40,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-042784,CaSb2,CaSb2,Ca-Sb,6,mvc-16074,Ca2 Sb4,CaSb2,Ca-Sb,6,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-093837,Mg(MoO2)2,Mg(MoO2)2,Mg-Mo-O,14,mvc-5692,Mg2 Mo4 O8,Mg(MoO2)2,Mg-Mo-O,14,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-088811,BaAlCrCuO5,BaAlCrCuO5,Al-Ba-Cr-Cu-O,9,mvc-7692,Ba1 Al1 Cr1 Cu1 O5,BaAlCrCuO5,Al-Ba-Cr-Cu-O,9,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-067883,Sr2Cu2NiO7,Sr2Cu2NiO7,Cu-Ni-O-Sr,24,mvc-908,Sr4 Cu4 Ni2 O14,Sr2Cu2NiO7,Cu-Ni-O-Sr,24,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-131749,Ba2CaTi2CuF14,Ba2CaTi2CuF14,Ba-Ca-Cu-F-Ti,40,mvc-3436,Ba4 Ca2 Ti4 Cu2 F28,Ba2CaTi2CuF14,Ba-Ca-Cu-F-Ti,40,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-052933,MgCu2(NiO4)2,MgCu2(NiO4)2,Cu-Mg-Ni-O,52,mvc-10476,Mg4 Cu8 Ni8 O32,MgCu2(NiO4)2,Cu-Mg-Ni-O,52,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-092748,Al2W2O7,Al2W2O7,Al-O-W,22,mvc-3847,Al4 W4 O14,Al2W2O7,Al-O-W,22,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-076799,AlAgO3,AlAgO3,Ag-Al-O,20,mvc-3844,Al4 Ag4 O12,AlAgO3,Ag-Al-O,20,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-082794,Mg(BiO2)2,Mg(BiO2)2,Bi-Mg-O,56,mvc-4648,Mg8 Bi16 O32,Mg(BiO2)2,Bi-Mg-O,56,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-076786,Mg2Bi3O8,Mg2Bi3O8,Bi-Mg-O,13,mvc-13890,Mg2 Bi3 O8,Mg2Bi3O8,Bi-Mg-O,13,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-078838,VZnO2,VZnO2,O-V-Zn,16,mvc-2919,V4 Zn4 O8,VZnO2,O-V-Zn,16,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-073878,AsWO5,AsWO5,As-O-W,28,mvc-5992,As4 W4 O20,AsWO5,As-O-W,28,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-093735,YCuO3,YCuO3,Cu-O-Y,5,mvc-11697,Y1 Cu1 O3,YCuO3,Cu-O-Y,5,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-034945,ZnNi3O7,ZnNi3O7,Ni-O-Zn,44,mvc-9194,Zn4 Ni12 O28,ZnNi3O7,Ni-O-Zn,44,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,train,mb-mp-e-form-083812,MgCu3P3O13,MgCu3P3O13,Cu-Mg-O-P,40,mvc-10262,Mg2 Cu6 P6 O26,MgCu3P3O13,Cu-Mg-O-P,40,structure_matcher,source JSON material_id namespace differs from matbench target IDs
MEGNet,test,mb-mp-e-form-102753,Ca2NiWO6,Ca2NiWO6,Ca-Ni-O-W,10,mvc-5738,Ca2 Ni1 W1 O6,Ca2NiWO6,Ca-Ni-O-W,10,structure_matcher,source JSON material_id namespace differs from matbench target IDs
