id,formula,natoms,nelements,chemical_system,competitor_entry_count,published_e_hull_ev_atom,formal_true_e_hull_ev_atom,method,pred_col,pred_formation_energy_per_atom_ev,formal_pred_e_hull_ev_atom,abs_formal_pred_minus_published_e_hull_ev_atom,abs_formal_pred_minus_formal_true_e_hull_ev_atom,rank_within_method,selection_method,cif_path,y_true,published_e_hull_ev_atom_matrix,pred_matris_affine_base,pred_simple_residual_ensemble,pred_canonical_formdelta_ensemble
wbm-step1-014628,Er5Pb,6,2,Er-Pb,18,0.045,0.149,matris_affine_base,pred_matris_affine_base,-0.4686186307021377,-0.2986186307021377,0.3436186307021376,0.4476186307021377,11.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-014628.cif,-0.021,0.045,-0.4686186307021377,-0.0413528383333333,-0.0333049396666666
wbm-step1-047445,RbCs3,4,2,Cs-Rb,4,0.046,0.0115,matris_affine_base,pred_matris_affine_base,-0.2957164518934169,-0.2957164518934169,0.3417164518934169,0.3072164518934169,12.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-047445.cif,0.0115,0.046,-0.2957164518934169,0.0543634993333333,0.0280102588333333
wbm-step1-003876,Au2HgNp,4,3,Au-Hg-Np,51,0.392,0.2405,matris_affine_base,pred_matris_affine_base,-0.4699424344835877,-0.2801924344835876,0.6721924344835877,0.5206924344835877,13.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-003876.cif,0.05075,0.392,-0.4699424344835877,0.0089307426666666,0.0062854985
wbm-step1-022525,K2Ba,6,2,Ba-K,6,0.119,0.0198333333333333,matris_affine_base,pred_matris_affine_base,-0.2631787557019921,-0.2631787557019921,0.3821787557019921,0.2830120890353254,14.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-022525.cif,0.0198333333333333,0.119,-0.2631787557019921,0.0098526078666666,-0.0002539554333333
wbm-step1-047335,Rb2Ba,6,2,Ba-Rb,4,0.172,0.0286666666666666,matris_affine_base,pred_matris_affine_base,-0.2443444780222138,-0.2443444780222138,0.4163444780222137,0.2730111446888804,15.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-047335.cif,0.0286666666666666,0.172,-0.2443444780222138,0.022732208,0.0062010190333333
wbm-step1-009302,Cd3Bi,8,2,Bi-Cd,7,0.054,0.00675,matris_affine_base,pred_matris_affine_base,-0.2397457456924157,-0.2397457456924157,0.2937457456924157,0.2464957456924157,16.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009302.cif,0.00675,0.054,-0.2397457456924157,-0.0006301850333333,-0.0039691029733333
wbm-step1-023274,La3Yb,4,2,La-Yb,2,0.049,0.01225,matris_affine_base,pred_matris_affine_base,-0.2356745904255379,-0.2356745904255379,0.2846745904255379,0.2479245904255379,17.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-023274.cif,0.01225,0.049,-0.2356745904255379,0.0159221195,0.0158344558
wbm-step1-008221,Ca3Cs,4,2,Ca-Cs,6,0.256,0.064,matris_affine_base,pred_matris_affine_base,-0.2351276781521807,-0.2351276781521807,0.4911276781521807,0.2991276781521806,18.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-008221.cif,0.064,0.256,-0.2351276781521807,0.0665004989999999,0.0597353133333333
wbm-step1-024599,LiBa3,4,2,Ba-Li,5,0.117,0.02925,matris_affine_base,pred_matris_affine_base,-0.2330424365812611,-0.2330424365812611,0.3500424365812611,0.2622924365812611,19.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-024599.cif,0.02925,0.117,-0.2330424365812611,0.0259147536666666,0.0208796314333333
wbm-step1-000116,Ag3Pm,8,2,Ag-Pm,3,-0.06,0.17675,matris_affine_base,pred_matris_affine_base,-0.4267606679719354,-0.2247606679719354,0.1647606679719354,0.4015106679719354,20.0,matris_affine_base,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000116.cif,-0.02525,-0.06,-0.4267606679719354,0.067530901,-0.0232368011333333
wbm-step1-000314,AgPm,2,2,Ag-Pm,3,-0.147,0.1425,simple_residual,pred_simple_residual_ensemble,-1.4765199466666663,-1.1915199466666666,1.0445199466666666,1.334019946666667,1.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000314.cif,-0.1425,-0.147,-0.9276312437241356,-1.4765199466666663,-0.1441903513333333
wbm-step1-023311,LaNp3,8,2,La-Np,2,0.716,0.0895,simple_residual,pred_simple_residual_ensemble,-0.2378071953333333,-0.2378071953333333,0.9538071953333332,0.3273071953333333,2.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-023311.cif,0.0895,0.716,-1.513543949977211,-0.2378071953333333,-0.0972812976666666
wbm-step1-023336,LaSm3,8,2,La-Sm,2,0.029,0.003625,simple_residual,pred_simple_residual_ensemble,-0.0159072826666666,-0.0159072826666666,0.0449072826666666,0.0195322826666666,3.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-023336.cif,0.003625,0.029,-0.2165910758191043,-0.0159072826666666,0.0011453928753333
wbm-step1-022949,KGe3,8,2,Ge-K,1,0.129,0.001,simple_residual,pred_simple_residual_ensemble,-0.0032250707466666,-0.0032250707466666,0.1322250707466666,0.0042250707466666,4.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-022949.cif,0.001,0.129,-0.0536698523640687,-0.0032250707466666,-0.0055142876999999
wbm-step1-014689,EuOs2,12,2,Eu-Os,7,0.081,0.00675,simple_residual,pred_simple_residual_ensemble,-0.0028656658999999,-0.0028656658999999,0.0838656659,0.0096156659,5.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-014689.cif,0.00675,0.081,-0.0489552910742272,-0.0028656658999999,-0.0069447233333333
wbm-step1-009320,Cd3In,4,2,Cd-In,16,0.034,0.0085,simple_residual,pred_simple_residual_ensemble,-0.0012329171333333,-0.0012329171333333,0.0352329171333333,0.0097329171333333,6.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009320.cif,0.0085,0.034,-0.2072639736754526,-0.0012329171333333,-0.0007853806133333
wbm-step1-023339,LaTb3,8,2,La-Tb,2,0.024,0.003,simple_residual,pred_simple_residual_ensemble,-0.0006492088333333,-0.0006492088333333,0.0246492088333333,0.0036492088333333,7.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-023339.cif,0.003,0.024,-0.204342711692036,-0.0006492088333333,0.0054407318
wbm-step1-009302,Cd3Bi,8,2,Bi-Cd,7,0.054,0.00675,simple_residual,pred_simple_residual_ensemble,-0.0006301850333333,-0.0006301850333333,0.0546301850333333,0.0073801850333333,8.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009302.cif,0.00675,0.054,-0.2397457456924157,-0.0006301850333333,-0.0039691029733333
wbm-step1-022225,InHg,2,2,Hg-In,11,0.012,0.006,simple_residual,pred_simple_residual_ensemble,-0.0004047630333333,-0.0004047630333333,0.0124047630333333,0.0064047630333333,9.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-022225.cif,0.006,0.012,-0.0132636340016544,-0.0004047630333333,-0.0088116333333333
wbm-step1-024109,Li2Sr,12,2,Li-Sr,4,0.011,0.0005,simple_residual,pred_simple_residual_ensemble,0.0002751488093333,0.0002751488093333,0.0107248511906666,0.0002248511906666,10.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-024109.cif,0.0005,0.011,-0.0344275119976936,0.0002751488093333,0.0024764898
wbm-step1-022347,InSn2,12,2,In-Sn,12,0.043,0.0035833333333333,simple_residual,pred_simple_residual_ensemble,0.0011403144666666,0.0011403144666666,0.0418596855333333,0.0024430188666666,11.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-022347.cif,0.0035833333333333,0.043,0.0134313653636568,0.0011403144666666,0.0068716818
wbm-step1-009494,CdPb5,6,2,Cd-Pb,10,0.035,0.0058333333333332,simple_residual,pred_simple_residual_ensemble,0.0019356508999999,0.0019356508999999,0.0330643491,0.0038976824333332,12.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009494.cif,0.0058333333333333,0.035,-0.1486260651146141,0.0019356508999999,0.0004885594333333
wbm-step1-005551,BaAc3,4,2,Ac-Ba,2,0.103,0.02575,simple_residual,pred_simple_residual_ensemble,0.0019405211166666,0.0019405211166666,0.1010594788833333,0.0238094788833333,13.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-005551.cif,0.02575,0.103,-0.1035538177638473,0.0019405211166666,-0.0272143803333333
wbm-step1-009493,CdPb5,6,2,Cd-Pb,10,0.034,0.0056666666666666,simple_residual,pred_simple_residual_ensemble,0.0022924939666666,0.0022924939666666,0.0317075060333333,0.0033741726999999,14.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009493.cif,0.0056666666666666,0.034,-0.1484457628623703,0.0022924939666666,-0.00267696888
wbm-step1-007301,CFe2,12,2,C-Fe,9,0.062,0.0051666666666666,simple_residual,pred_simple_residual_ensemble,0.0029468871499999,0.0029468871499999,0.05905311285,0.0022197795166666,15.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-007301.cif,0.0051666666666666,0.062,0.0509972421741361,0.0029468871499999,0.0011087506666666
wbm-step1-028473,MgRu2,12,2,Mg-Ru,27,0.127,0.004,simple_residual,pred_simple_residual_ensemble,0.0033825177166666,0.0033825177166666,0.1236174822833333,0.0006174822833333,16.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-028473.cif,0.004,0.127,-0.020247708156592,0.0033825177166666,0.0123211679999999
wbm-step1-000119,Ag3Pu,8,2,Ag-Pu,12,0.079,0.009875,simple_residual,pred_simple_residual_ensemble,0.0034015676566666,0.0034015676566666,0.0755984323433333,0.0064734323433333,17.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000119.cif,0.009875,0.079,0.0254208074463652,0.0034015676566666,-0.0026663821666666
wbm-step1-000051,Ag2Pb,6,2,Ag-Pb,7,0.024,0.004,simple_residual,pred_simple_residual_ensemble,0.0034498971066666,0.0034498971066666,0.0205501028933333,0.0005501028933333,18.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000051.cif,0.004,0.024,0.0126404999583303,0.0034498971066666,0.0095054524999999
wbm-step1-001173,Al3K2,10,2,Al-K,3,0.038,0.0038,simple_residual,pred_simple_residual_ensemble,0.003680187,0.003680187,0.034319813,0.0001198129999999,19.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-001173.cif,0.0038,0.038,-0.1157215873037729,0.003680187,0.0104139076666666
wbm-step1-029391,Mn5Sb4,9,2,Mn-Sb,19,0.039,0.0013333333333333,simple_residual,pred_simple_residual_ensemble,0.0038265838666666,0.0038265838666666,0.0351734161333333,0.0024932505333333,20.0,simple_residual,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-029391.cif,0.0013333333333333,0.039,0.0011699785153965,0.0038265838666666,0.0037727588033333
wbm-step1-023311,LaNp3,8,2,La-Np,2,0.716,0.0895,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0972812976666666,-0.0972812976666666,0.8132812976666667,0.1867812976666666,1.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-023311.cif,0.0895,0.716,-1.513543949977211,-0.2378071953333333,-0.0972812976666666
wbm-step1-005551,BaAc3,4,2,Ac-Ba,2,0.103,0.02575,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0272143803333333,-0.0272143803333333,0.1302143803333333,0.0529643803333333,2.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-005551.cif,0.02575,0.103,-0.1035538177638473,0.0019405211166666,-0.0272143803333333
wbm-step1-022225,InHg,2,2,Hg-In,11,0.012,0.006,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0088116333333333,-0.0088116333333333,0.0208116333333333,0.0148116333333333,3.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-022225.cif,0.006,0.012,-0.0132636340016544,-0.0004047630333333,-0.0088116333333333
wbm-step1-014689,EuOs2,12,2,Eu-Os,7,0.081,0.00675,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0069447233333333,-0.0069447233333333,0.0879447233333333,0.0136947233333333,4.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-014689.cif,0.00675,0.081,-0.0489552910742272,-0.0028656658999999,-0.0069447233333333
wbm-step1-022949,KGe3,8,2,Ge-K,1,0.129,0.001,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0055142876999999,-0.0055142876999999,0.1345142877,0.0065142876999999,5.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-022949.cif,0.001,0.129,-0.0536698523640687,-0.0032250707466666,-0.0055142876999999
wbm-step1-009165,CaTm3,8,2,Ca-Tm,1,0.132,0.0165,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0045198797666666,-0.0045198797666666,0.1365198797666666,0.0210198797666666,6.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009165.cif,0.0165,0.132,-0.2031231014299436,0.0066302567999999,-0.0045198797666666
wbm-step1-008983,CaPu3,8,2,Ca-Pu,1,0.181,0.022625,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0045030762666666,-0.0045030762666666,0.1855030762666666,0.0271280762666666,7.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-008983.cif,0.022625,0.181,-0.1608591526161639,0.0270843456666666,-0.0045030762666666
wbm-step1-009663,CeHf,2,2,Ce-Hf,3,0.128,0.064,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0040056073333333,-0.0040056073333333,0.1320056073333333,0.0680056073333333,8.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009663.cif,0.064,0.128,-0.1775766960849915,0.0450923346666666,-0.0040056073333333
wbm-step1-009302,Cd3Bi,8,2,Bi-Cd,7,0.054,0.00675,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0039691029733333,-0.0039691029733333,0.0579691029733333,0.0107191029733333,9.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009302.cif,0.00675,0.054,-0.2397457456924157,-0.0006301850333333,-0.0039691029733333
wbm-step1-013628,CuAs,4,2,As-Cu,13,0.044,0.011,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0033356864666666,-0.0033356864666666,0.0473356864666666,0.0143356864666666,10.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-013628.cif,0.011,0.044,-0.0385375686076483,0.0070209417333333,-0.0033356864666666
wbm-step1-012372,Cr2Re,3,2,Cr-Re,10,0.043,0.0143333333333333,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0032120927799999,-0.0032120927799999,0.04621209278,0.0175454261133333,11.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-012372.cif,0.0143333333333333,0.043,0.0088799564718654,0.0206560116666666,-0.0032120927799999
wbm-step1-022165,InBi2,3,2,Bi-In,11,0.05,0.0166666666666666,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.00319973629,-0.00319973629,0.05319973629,0.0198664029566666,12.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-022165.cif,0.0166666666666666,0.05,-0.1633566887172643,0.0105190328,-0.00319973629
wbm-step1-009493,CdPb5,6,2,Cd-Pb,10,0.034,0.0056666666666666,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.00267696888,-0.00267696888,0.03667696888,0.0083436355466666,13.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009493.cif,0.0056666666666666,0.034,-0.1484457628623703,0.0022924939666666,-0.00267696888
wbm-step1-000119,Ag3Pu,8,2,Ag-Pu,12,0.079,0.009875,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0026663821666666,-0.0026663821666666,0.0816663821666666,0.0125413821666666,14.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-000119.cif,0.009875,0.079,0.0254208074463652,0.0034015676566666,-0.0026663821666666
wbm-step1-009320,Cd3In,4,2,Cd-In,16,0.034,0.0085,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0007853806133333,-0.0007853806133333,0.0347853806133333,0.0092853806133333,15.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009320.cif,0.0085,0.034,-0.2072639736754526,-0.0012329171333333,-0.0007853806133333
wbm-step1-022525,K2Ba,6,2,Ba-K,6,0.119,0.0198333333333333,canonical_formdelta,pred_canonical_formdelta_ensemble,-0.0002539554333333,-0.0002539554333333,0.1192539554333333,0.0200872887666666,16.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-022525.cif,0.0198333333333333,0.119,-0.2631787557019921,0.0098526078666666,-0.0002539554333333
wbm-step1-003918,AuHg4,5,2,Au-Hg,11,0.063,0.0126,canonical_formdelta,pred_canonical_formdelta_ensemble,0.0002406959666666,0.0002406959666666,0.0627593040333333,0.0123593040333333,17.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-003918.cif,0.0126,0.063,0.046786662289016,0.0057186346666666,0.0002406959666666
wbm-step1-045218,P2Se2Te,5,3,P-Se-Te,12,0.173,0.0222,canonical_formdelta,pred_canonical_formdelta_ensemble,0.0004010417333333,0.0004010417333333,0.1725989582666666,0.0217989582666666,18.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-045218.cif,0.0222,0.173,-0.0317022481247862,0.0205000153333333,0.0004010417333333
wbm-step1-009494,CdPb5,6,2,Cd-Pb,10,0.035,0.0058333333333332,canonical_formdelta,pred_canonical_formdelta_ensemble,0.0004885594333333,0.0004885594333333,0.0345114405666666,0.0053447738999999,19.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-009494.cif,0.0058333333333333,0.035,-0.1486260651146141,0.0019356508999999,0.0004885594333333
wbm-step1-007301,CFe2,12,2,C-Fe,9,0.062,0.0051666666666666,canonical_formdelta,pred_canonical_formdelta_ensemble,0.0011087506666666,0.0011087506666666,0.0608912493333333,0.0040579159999999,20.0,canonical_formdelta,<RUNS_ROOT>/protocol_conditioned_20260530/wbm50k_protocol/export/cif/wbm-step1-007301.cif,0.0051666666666666,0.062,0.0509972421741361,0.0029468871499999,0.0011087506666666
